Four_Weeks_Periods,Retailer_Trade_Areas,Category,Sub_Category,Brand_High,Sales,Base_Sales,Incr_Sales,Units,Base_Units,Incr_Units,Percent_ACV,Any_Promo_Spend,Any_Promo_Base_Spend,Any_Promo_Incr_Spend,Disp_without_Feat_Spend,Disp_without_Feat_Base_Spend,Disp_without_Feat_Incr_Spend,Feat_and_Disp_Spend,Feat_and_Disp_Base_Spend,Feat_and_Disp_Incr_Spend,Feat_without_Disp_Spend,Feat_without_Disp_Base_Spend,Feat_without_Disp_Incr_Spend,No_Promo_Spend,No_Promo_Base_Spend,No_Promo_Incr_Spend,Price_Decr_Spend,Price_Decr_Base_Spend,Price_Decr_Incr_Spend,Any_Disp_Spend,Any_Disp_Base_Spend,Any_Disp_Incr_Spend,Any_Feat_Spend,Any_Feat_Base_Spend,Any_Feat_Incr_Spend,Any_Price_Decr_Spend,Any_Price_Decr_Base_Spend,Any_Price_Decr_Incr_Spend,Any_Promo_Units,Any_Promo_Base_Units,Any_Promo_Incr_Units,Disp_without_Feat_Units,Disp_without_Feat_Base_Units,Disp_without_Feat_Incr_Units,Feat_and_Disp_Units,Feat_and_Disp_Base_Units,Feat_and_Disp_Incr_Units,Feat_without_Disp_Units,Feat_without_Disp_Base_Units,Feat_without_Disp_Incr_Units,No_Promo_Units,No_Promo_Base_Units,No_Promo_Incr_Units,Price_Decr_Units,Price_Decr_Base_Units,Price_Decr_Incr_Units,Any_Disp_Units,Any_Disp_Base_Units,Any_Disp_Incr_Units,Any_Feat_Units,Any_Feat_Base_Units,Any_Feat_Incr_Units,Any_Price_Decr_Units,Any_Price_Decr_Base_Units,Any_Price_Decr_Incr_Units
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,BAR HARBOR,839,774,65,211,195,16,29,0,0,0,0,0,0,0,0,0,0,0,0,839,774,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,195,16,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,CAMPBELL'S,468607,452745,15862,352238,329062,23176,100,59188,45383,13806,0,0,0,16489,6886,9602,31106,27443,3663,409419,407362,2057,11593,11053,540,16489,6886,9602,47595,34330,13265,48977,35266,13711,61727,40493,21234,0,0,0,20982,7728,13253,31670,25004,6666,290511,288569,1942,9075,7760,1315,20982,7728,13253,52652,32733,19919,55443,34168,21275
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,DOMINIQUE'S,91,82,9,28,25,3,4,0,0,0,0,0,0,0,0,0,0,0,0,91,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,PRIVATE LABEL,139993,135979,4014,142925,138756,4169,100,1954,2042,-88,0,0,0,0,0,0,0,0,0,138039,133937,4102,1954,2042,-88,0,0,0,0,0,0,1954,2042,-88,2123,1855,268,0,0,0,0,0,0,0,0,0,140802,136901,3901,2123,1855,268,0,0,0,0,0,0,2123,1855,268
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,ALESSI,50,58,-9,19,22,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,50,58,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,-3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,BEAR CREEK,27456,26744,712,7185,7097,88,99,0,0,0,0,0,0,0,0,0,0,0,0,27456,26744,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7185,7097,88,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,BOB'S RED MILL,135,116,19,28,23,5,4,0,18,-18,0,0,0,0,0,0,0,0,0,135,98,37,0,18,-18,0,0,0,0,0,0,0,18,-18,0,3,-3,0,0,0,0,0,0,0,0,0,28,20,8,0,3,-3,0,0,0,0,0,0,0,3,-3
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,CUGINO'S,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,KNORR,6257,6457,-200,3147,3247,-100,93,9,37,-29,9,37,-29,0,0,0,0,0,0,6249,6420,-171,0,0,0,9,37,-29,0,0,0,0,26,-26,4,19,-15,4,19,-15,0,0,0,0,0,0,3143,3227,-85,0,0,0,4,19,-15,0,0,0,0,13,-13
4 W/E 09/17/11,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,LE GOUT,4,5,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
